Subject ID,Trial ID,Windows Timestamp,Simulation Timestamp,Hypothesis,Hypothesis Callout,Hypothesis CalloutID,Transcribed Utterance,Transcribed Callout,Transcribed Callout ID,Confidence
30,3,20141212-140803-611,31.807,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.7643008
30,3,20141212-140813-371,41.567,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.8979744
30,3,20141212-140818-311,46.507,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9059721
30,3,20141212-140823-116,51.312,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9230774
30,3,20141212-140827-256,55.452,four percent fuel,4%,18,five percent one twenty feet,"5 %, 120 ft","13, 15",0.7559199
30,3,20141212-140833-946,62.142,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9408613
30,3,20141212-140839-341,67.537,one,1 ft,-1,,0,-1,0.6406028
30,3,20141212-140841-126,69.322,one feet,1 ft,-1,one hundred feet,100 ft,17,0.6925403
30,4,20141212-140911-628,3.614,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.923729
30,4,20141212-140914-923,6.909,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9085268
30,4,20141212-140918-573,10.559,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.8731204
30,4,20141212-140924-285,16.271,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.8119537
30,4,20141212-140930-778,22.764,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.8851641
30,4,20141212-140935-390,27.376,five feet,5 ft,-1,five feet,5 ft,-1,0.8989691
30,4,20141212-140939-238,31.224,six percent fuel,6%,9,six percent two hundred,"6 %, 200 ft","8, 9",0.676763
30,4,20141212-140945-918,37.904,one thirty feet,130 ft,14,one seventy five feet,175 ft,10,0.6328784
30,4,20141212-140953-060,45.046,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9353275
30,4,20141212-140958-053,50.039,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9333104
30,4,20141212-141002-113,54.099,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9326527
30,4,20141212-141007-930,59.916,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.6044262
30,4,20141212-141014-055,66.041,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9218641
30,4,20141212-141023-698,75.684,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.9005948
30,4,20141212-141033-618,85.604,blue light,0,-1,,0,-1,0.7723449
30,5,20141212-141051-872,2.955,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.8883265
30,5,20141212-141054-817,5.9,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9336369
30,5,20141212-141100-192,11.275,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.808977
30,5,20141212-141105-079,16.162,two hundred feet,200 ft,8,three hundred feet fuel,300 ft,5,0.8067182
30,5,20141212-141120-456,31.539,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.8961045
30,5,20141212-141126-444,37.527,...,0,-1,one seventy five feet,175 ft,10,1
30,5,20141212-141136-421,47.504,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9127638
30,5,20141212-141140-176,51.259,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9237912
30,5,20141212-141145-259,56.342,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9411853
30,5,20141212-141148-869,59.952,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.882255
30,5,20141212-141209-169,80.252,a hundred feet,100 ft,17,a hundred feet,100 ft,17,0.8395799
30,6,20141212-141234-083,3.335,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9203547
30,6,20141212-141237-893,7.145,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9378957
30,6,20141212-141241-683,10.935,two fifty feet,250 ft,6,three fifty feet,350 ft,3,0.7248963
30,6,20141212-141253-013,22.265,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9056211
30,6,20141212-141300-210,29.462,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.9474847
30,6,20141212-141302-268,31.52,six percent fuel,6%,9,six percent fuel,6%,9,0.9169376
30,6,20141212-141308-598,37.85,...,0,-1,one seventy five,175 ft,10,1
30,6,20141212-141319-913,49.165,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9463031
30,6,20141212-141335-708,64.96,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9343458
30,6,20141212-141343-800,73.052,four percent fuel,4%,18,four percent one hundred feet,"4 %, 100 ft","18, 17",0.7365622
30,7,20141212-141419-432,6.677,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9208262
30,7,20141212-141423-537,10.782,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.8555185
30,7,20141212-141428-514,15.759,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.8860894
30,7,20141212-141429-929,17.174,...,0,-1,fuel seven percent,7%,4,1
30,7,20141212-141435-052,22.297,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.930558
30,7,20141212-141456-454,43.699,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9375025
30,7,20141212-141459-934,47.179,one forty feet,140 ft,12,one forty feet,140 ft,12,0.8404853
30,7,20141212-141506-837,54.082,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9355621
30,7,20141212-141510-889,58.134,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.9228348
30,7,20141212-141516-304,63.549,one ten feet,110 ft,16,one ten feet,110 ft,16,0.896368
30,7,20141212-141520-384,67.629,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.9240339
30,8,20141212-141550-059,2.484,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.8957475
30,8,20141212-141556-029,8.454,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.8862281
30,8,20141212-141558-666,11.091,four,4 ft,-1,four,4 ft,-1,0.8692393
30,8,20141212-141559-504,11.929,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.6845281
30,8,20141212-141603-421,15.846,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.6964999
30,8,20141212-141610-111,22.536,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.922079
30,8,20141212-141618-776,31.201,six percent fuel,6%,9,six percent two hundred feet,"6 %, 200 ft","9, 8",0.6736524
30,8,20141212-141625-814,38.239,...,0,-1,one seventy five feet,175 ft,10,1
30,8,20141212-141631-524,43.949,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.8829705
30,8,20141212-141633-369,45.794,one forty feet,140 ft,12,one forty feet,140 ft,12,0.913183
30,8,20141212-141636-091,48.516,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9093713
30,8,20141212-141641-546,53.971,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.8938707
30,8,20141212-141647-894,60.319,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9265061
30,8,20141212-141654-431,66.856,four percent fuel,4%,18,four percent one hundred feet,"4 %, 100 ft","18, 17",0.7210371
30,9,20141212-141725-630,2.542,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9253339
30,9,20141212-141730-157,7.069,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9216925
30,9,20141212-141733-744,10.656,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9336942
30,9,20141212-141738-099,15.011,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.877592
30,9,20141212-141743-680,20.592,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9335298
30,9,20141212-141751-327,28.239,five feet,5 ft,-1,five feet,5 ft,-1,0.8894983
30,9,20141212-141754-204,31.116,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.9293578
30,9,20141212-141801-380,38.292,...,0,-1,one seventy five feet,175 ft,10,1
30,9,20141212-141808-897,45.809,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.934383
30,9,20141212-141812-710,49.622,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9433622
30,9,20141212-141816-502,53.414,five percent fuel,5%,13,five percent one thirty feet,"5 %, 130 ft","13, 14",0.6070427
30,9,20141212-141822-195,59.107,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.6331117
30,9,20141212-141830-004,66.916,one ten feet,110 ft,16,one ten feet,110 ft,16,0.8368301
30,9,20141212-141841-744,78.656,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.8730345
30,10,20141212-141910-276,3.279,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9249287
30,10,20141212-141913-801,6.804,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9418707
30,10,20141212-141917-748,10.751,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.8958059
30,10,20141212-141936-083,29.086,five feet,5 ft,-1,five feet,5 ft,-1,0.9088566
30,10,20141212-141946-506,39.509,...,0,-1,one seventy five feet,175 ft,10,1
30,10,20141212-141951-746,44.749,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9212201
30,10,20141212-141954-513,47.516,six percent fuel,6%,9,six percent one forty feet,"6 %, 140 ft","9, 12",0.6543245
30,10,20141212-141956-703,49.706,five percent fuel,5%,13,five percent one thirty feet,"5 %, 130 ft","13, 14",0.6423967
30,10,20141212-142003-921,56.924,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.8001199
30,10,20141212-142011-091,64.094,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9390607
30,10,20141212-142020-058,73.061,four percent fuel,4%,18,four percent one hundred feet,"4 %, 100 ft","18, 17",0.7480977
30,11,20141212-142049-446,3.318,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9099851
30,11,20141212-142054-064,7.936,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9043956
30,11,20141212-142057-236,11.108,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9156778
30,11,20141212-142108-549,22.421,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9082207
30,11,20141212-142115-216,29.088,five feet,5 ft,-1,five feet,5 ft,-1,0.8448063
30,11,20141212-142117-610,31.482,six percent fuel,6%,9,six percent two hundred,"6 %, 200 ft","8, 9",0.6371756
30,11,20141212-142119-655,33.527,three,3 ft,-1,feet ,ft,-1,0.6577999
30,11,20141212-142123-940,37.812,...,0,-1,one seventy five feet,175 ft,10,1
30,11,20141212-142131-125,44.997,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9285897
30,11,20141212-142137-258,51.13,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9342369
30,11,20141212-142145-483,59.355,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.8784888
30,11,20141212-142154-540,68.412,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9427059
30,11,20141212-142205-055,78.927,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.6330134
30,12,20141212-142247-419,3.167,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9054916
30,12,20141212-142251-299,7.047,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.94096
30,12,20141212-142255-259,11.007,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.7332121
30,12,20141212-142306-677,22.425,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9262367
30,12,20141212-142310-154,25.902,five feet,5 ft,-1,five feet,5 ft,-1,0.8942755
30,12,20141212-142323-699,39.447,...,0,-1,one seventy five feet,175 ft,10,1
30,12,20141212-142327-428,43.176,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9344796
30,12,20141212-142333-811,49.559,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9468468
30,12,20141212-142338-666,54.414,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9355701
30,12,20141212-142344-673,60.421,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.6164482
30,12,20141212-142352-978,68.726,four percent fuel,4%,18,four percent one ten feet,"4 %, 110 ft","18, 16",0.6520146
30,12,20141212-142404-083,79.831,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.9300271
30,13,20141212-142759-649,3.094,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.920058
30,13,20141212-142803-489,6.934,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9349019
30,13,20141212-142807-394,10.839,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9132825
30,13,20141212-142812-654,16.099,seven percent fuel,7%,4,seven percent three hundred feet,"7 %, 300 ft","4, 5",0.6712155
30,13,20141212-142818-296,21.741,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9366854
30,13,20141212-142822-986,26.431,five feet,5 ft,-1,five feet,5 ft,-1,0.8780305
30,13,20141212-142827-584,31.029,six percent fuel,6%,9,six percent two hundred feet,"6 %, 200 ft","9, 8",0.6910678
30,13,20141212-142833-359,36.804,...,0,-1,one seventy five feet,175 ft,10,1
30,13,20141212-142839-906,43.351,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9301832
30,13,20141212-142844-596,48.041,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9484358
30,13,20141212-142848-916,52.361,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9489874
30,13,20141212-142854-316,57.761,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.7994503
30,13,20141212-142859-401,62.846,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9413788
30,13,20141212-142903-134,66.579,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.8880443
30,13,20141212-142904-446,67.891,seven,7 ft,-1,percent,0%,-1,0.7980784
30,13,20141212-142910-589,74.034,...,0,-1,fuel percent fuel percent,0%,-1,1
30,14,20141212-142941-660,2.602,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9339045
30,14,20141212-142946-057,6.999,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9190804
30,14,20141212-142949-922,10.864,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.790599
30,14,20141212-142954-262,15.204,...,0,-1,seven percent three hundred feet,"7 %, 300 ft","4, 5",1
30,14,20141212-143001-287,22.229,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.7944605
30,14,20141212-143006-379,27.321,five feet,5 ft,-1,five feet,5 ft,-1,0.8980542
30,14,20141212-143015-199,36.141,...,0,-1,one seventy five feet,175 ft,10,1
30,14,20141212-143029-537,50.479,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9439356
30,14,20141212-143035-079,56.021,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.8816454
30,14,20141212-143041-939,62.881,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9359399
30,14,20141212-143044-511,65.453,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.9150971
30,14,20141212-143053-126,74.068,zero feet,0 ft,-1,,0,-1,0.650438
30,15,20141212-143119-186,3.199,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9111709
30,15,20141212-143123-281,7.294,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9207904
30,15,20141212-143126-606,10.619,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.8492522
30,15,20141212-143131-226,15.239,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.7537463
30,15,20141212-143132-221,16.234,...,0,-1,fuel seven percent,7%,4,1
30,15,20141212-143137-881,21.894,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.8632853
30,15,20141212-143142-538,26.551,five feet,5 ft,-1,two twenty five feet,225 ft,7,0.8323686
30,15,20141212-143147-068,31.081,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.93253
30,15,20141212-143152-918,36.931,...,0,-1,one seventy five feet,175 ft,10,1
30,15,20141212-143158-438,42.451,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9218261
30,15,20141212-143205-171,49.184,one forty feet,140 ft,12,one forty feet,140 ft,12,0.94258
30,15,20141212-143206-360,50.373,five percent fuel,5%,13,five percent one thirty feet,"5 %, 130 ft","13, 14",0.7087413
30,15,20141212-143214-403,58.416,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.9196746
30,15,20141212-143220-303,64.316,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9401324
30,15,20141212-143226-228,70.241,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.9245546
30,15,20141212-143233-315,77.328,ninety feet,90 ft,-1,ninety feet,90 ft,-1,0.9335949
30,15,20141212-143237-840,81.853,four,4 ft,-1,four,4 ft,-1,0.9577045
30,16,20141212-143305-903,3.392,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9416376
30,16,20141212-143309-251,6.74,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.8773044
30,16,20141212-143313-748,11.237,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.8579368
30,16,20141212-143318-103,15.592,...,0,-1,fuel seven percent three hundred feet,"7 %, 300 ft","4, 5",1
30,16,20141212-143325-313,22.802,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.7824085
30,16,20141212-143329-441,26.93,five feet,5 ft,-1,five feet,5 ft,-1,0.9372381
30,16,20141212-143332-583,30.072,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.9451287
30,16,20141212-143338-856,36.345,...,0,-1,one seventy five feet,175 ft,10,1
30,16,20141212-143348-188,45.677,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9210127
30,16,20141212-143349-373,46.862,forty feet,40 ft,-1,forty feet,40 ft,-1,0.6471338
30,16,20141212-143352-788,50.277,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9213515
30,16,20141212-143358-538,56.027,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.908388
30,16,20141212-143403-936,61.425,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9408892
30,16,20141212-143410-163,67.652,a hundred feet,100 ft,-1,one hundred feet,100 ft,17,0.8562509
30,17,20141212-143439-420,2.881,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9305565
30,17,20141212-143442-983,6.444,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9472964
30,17,20141212-143447-908,11.369,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9305065
30,17,20141212-143459-430,22.891,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9236531
30,17,20141212-143504-588,28.049,five feet,5 ft,-1,five feet,5 ft,-1,0.915456
30,17,20141212-143508-505,31.966,six percent fuel,6%,9,six percent two hundred,"6 %, 200 ft","9, 8",0.6670474
30,17,20141212-143510-468,33.929,...,0,-1,feet,ft,-1,1
30,17,20141212-143513-123,36.584,...,0,-1,one seventy five feet,175 ft,10,1
30,17,20141212-143525-993,49.454,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9474106
30,17,20141212-143530-368,53.829,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.939255
30,17,20141212-143536-888,60.349,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.8217538
30,17,20141212-143541-303,64.764,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9458804
30,17,20141212-143550-218,73.679,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.7901729
30,18,20141212-143618-975,3.134,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9413306
30,18,20141212-143622-913,7.072,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9296282
30,18,20141212-143627-010,11.169,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9429008
30,18,20141212-143631-420,15.579,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.9381198
30,18,20141212-143632-548,16.707,...,0,-1,fuel seven percent,7%,4,1
30,18,20141212-143638-015,22.174,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9364153
30,18,20141212-143639-933,24.092,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.7824888
30,18,20141212-143644-235,28.394,five feet,5 ft,-1,five feet,5 ft,-1,0.9323645
30,18,20141212-143647-268,31.427,six percent fuel,6%,9,six percent two hundred,"6 %, 200 ft","8, 9",0.7131166
30,18,20141212-143648-650,32.809,...,0,-1,feet,ft,-1,1
30,18,20141212-143652-925,37.084,one thirty feet,130 ft,14,one seventy five feet,175 ft,10,0.8226931
30,18,20141212-143700-518,44.677,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9333104
30,18,20141212-143706-738,50.897,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9418294
30,18,20141212-143711-478,55.637,five percent fuel,5%,13,five percent one thirty feet,"5 %, 130 ft","13, 14",0.6749308
30,18,20141212-143716-835,60.994,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.8871896
30,18,20141212-143724-948,69.107,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9490984
30,18,20141212-143729-660,73.819,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.9151857
30,19,20141212-143801-567,3.611,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.8519337
30,19,20141212-143806-402,8.446,one feet,1 ft,-1,four hundred feet,400 ft,2,0.8077787
30,19,20141212-143813-697,15.741,...,0,-1,fuel seven percent three hundred feet,"7 %, 300 ft","4, 5",1
30,19,20141212-143820-299,22.343,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9390083
30,19,20141212-143826-034,28.078,...,0,-1,two twenty five feet,225 ft,7,1
30,19,20141212-143829-587,31.631,six percent fuel,6%,9,six percent two hundred feet,"6 %, 200 ft","9, 8",0.7769194
30,19,20141212-143843-567,45.611,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9110708
30,19,20141212-143848-842,50.886,five percent fuel,5%,13,five percent one forty feet,"5 %, 140 ft","13, 12",0.7201028
30,19,20141212-143853-474,55.518,one thirty feet,130 ft,14,one thirty feet,130 ft,14,0.9464933
30,19,20141212-143858-772,60.816,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.9194967
30,19,20141212-143910-337,72.381,one ten feet,110 ft,16,one ten feet,110 ft,16,0.9159383
30,19,20141212-143917-982,80.026,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.8833762
30,20,20141212-143949-791,3.301,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9067289
30,20,20141212-143953-591,7.101,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.9527416
30,20,20141212-143957-366,10.876,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.7813029
30,20,20141212-144009-621,23.131,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.8053456
30,20,20141212-144013-503,27.013,five feet,5 ft,-1,five feet,5 ft,-1,0.8393342
30,20,20141212-144018-098,31.608,two hundred feet,200 ft,8,two hundred feet,200 ft,8,0.8769187
30,20,20141212-144024-476,37.986,six percent fuel,6%,9,six percent one seventy five feet,"6 %, 175 ft","9, 10",0.6423682
30,20,20141212-144032-983,46.493,one fifty feet,150 ft,11,one fifty feet,150 ft,11,0.9238164
30,20,20141212-144037-516,51.026,one forty feet,140 ft,12,one forty feet,140 ft,12,0.9354241
30,20,20141212-144038-923,52.433,five percent fuel,5%,13,five percent one thirty feet,"5 %, 130 ft","13, 14",0.7088714
30,20,20141212-144045-716,59.226,one twenty feet,120 ft,15,one twenty feet,120 ft,15,0.9396558
30,20,20141212-144054-223,67.733,four percent fuel,4%,18,four percent one ten feet,"4 %, 110 ft","18, 16",0.6308129
30,20,20141212-144110-385,83.895,one hundred feet,100 ft,17,one hundred feet,100 ft,17,0.9069547
30,21,20141212-144138-908,3.242,four fifty feet,450 ft,1,four fifty feet,450 ft,1,0.9348742
30,21,20141212-144142-660,6.994,four hundred feet,400 ft,2,four hundred feet,400 ft,2,0.943684
30,21,20141212-144147-444,11.778,three fifty feet,350 ft,3,three fifty feet,350 ft,3,0.9262795
30,21,20141212-144152-458,16.792,three hundred feet,300 ft,5,three hundred feet,300 ft,5,0.8266668
30,21,20141212-144159-116,23.45,two fifty feet,250 ft,6,two fifty feet,250 ft,6,0.9157692
30,21,20141212-144203-198,27.532,...,0,-1,two twenty five feet,225 ft,7,1
30,21,20141212-144207-421,31.755,six percent fuel,6%,9,six percent two hundred,"6 %, 200 ft","8, 9",0.666477
30,21,20141212-144214-138,38.472,...,0,-1,one seventy five feet,175 ft,10,1
